"site","team","transect","longcode","start","stop","dieback"
"PT2","AD",2,"NOLERU",47.35,48.8,0
"C1","AD",1,"AGALEC",0.5,1.3,100
"C1","AD",1,"subshrub",12.35,12.5,100
"C1","AD",1,"subshrub",13.2,13.35,100
"C1","AD",1,"DASLEI",19.3,20,100
"C1","AD",1,"VIGSTE",23.2,23.55,100
"C1","AD",1,"VIGSTE",24,25,75
"C1","AD",1,"VIGSTE",25.6,26.3,100
"C1","AD",1,"AGALEC",26.1,26.35,0
"C1","AD",1,"AGALEC",27.7,27.85,100
"C1","AD",1,"DASLEI",28.85,29.5,100
"C1","AD",1,"VIGSTE",30.45,30.85,100
"C1","AD",1,"SUSHAI",32.55,32.8,100
"C1","AD",1,"OPUDUL",34,34.1,0
"C1","AD",1,"DASLEI",33.9,34.5,100
"C1","AD",1,"subshrub",35.1,35.2,100
"C1","AD",1,"DASLEI",35.95,37.4,20
"C1","AD",1,"ACAGRE",36.85,38.2,0
"C1","AD",1,"VIGSTE",40.2,40.25,100
"C1","AD",1,"VIGSTE",41.15,42.1,100
"C1","AD",1,"VIGSTE",43.1,43.9,100
"C1","AD",1,"AGALEC",45.9,46.3,80
"C1","AD",1,"AGALEC",48.89,49,100
"C1","AD",1,"VIGSTE",48.7,49.2,100
"C1","AD",1,"VIGSTE",49.7,49.9,100
"C1","AD",2,"VIGSTE",1.9,1.95,100
"C1","AD",2,"DASLEI",3.45,3.6,100
"C1","AD",2,"VIGSTE",4.3,4.45,100
"C1","AD",2,"shrub",5.5,5.9,100
"C1","AD",2,"subshrub",6.9,7.05,100
"C1","AD",2,"AGALEC",9.5,9.8,85
"C1","AD",2,"AGALEC",12.6,12.75,100
"C1","AD",2,"AGALEC",13.8,14.2,50
"C1","AD",2,"VIGSTE",17.6,17.9,100
"C1","AD",2,"subshrub",20,20.1,100
"C1","AD",2,"shrub",20.7,20.8,100
"C1","AD",2,"shrub",21.3,22.05,100
"C1","AD",2,"subshrub",23.45,23.65,100
"C1","AD",2,"shrub",24.7,24.9,100
"C1","AD",2,"VIGSTE",26,26.3,100
"C1","AD",2,"DASLEI",26.5,27.4,100
"C1","AD",2,"AGALEC",27.4,27.65,0
"C1","AD",2,"subshrub",29.9,30.1,100
"C1","AD",2,"shrub",32.3,33.25,100
"C1","AD",2,"shrub",33.6,34.6,100
"C1","AD",2,"shrub",39.2,39.45,100
"C1","AD",2,"AGALEC",40.05,41,90
"C1","AD",2,"DASLEI",44.7,44.9,100
"C1","AD",2,"AGALEC",47.1,47.6,100
"C1","AD",2,"shrub",48.45,48.5,100
"C1","AD",3,"SUSHAI",0.05,0.35,0
"C1","AD",3,"shrub",4.35,4.5,100
"C1","AD",3,"shrub",4.7,4.75,100
"C1","AD",3,"subshrub",12.1,12.3,100
"C1","AD",3,"subshrub",14.3,14.45,100
"C1","AD",3,"subshrub",15.2,15.45,5
"C1","AD",3,"AGALEC",18.4,18.65,100
"C1","AD",3,"subshrub",20.7,20.8,100
"C1","AD",3,"subshrub",23.25,23.3,0
"C1","AD",3,"subshrub",26.4,26.5,25
"C1","AD",3,"subshrub",29.15,29.2,0
"C1","AD",3,"subshrub",29.7,29.8,50
"C1","AD",3,"OPUCHI",32.75,32.8,0
"C1","AD",3,"AGALEC",33,33.2,100
"C1","AD",3,"VIGSTE",34.65,35.6,100
"C1","AD",3,"subshrub",39.8,39.95,80
"C1","AD",3,"AGALEC",40.1,40.75,100
"C1","AD",3,"LEGMIN",44.7,44.9,0
"C1","AD",3,"LEGMIN",45.95,46.1,50
"C1","AD",3,"LEGMIN",46.25,46.4,60
"C3","AD",1,"LARTRI",1.4,2,15
"C3","AD",1,"ACANEO",2.8,5,0
"C3","AD",1,"KRAGRA",6.2,6.85,15
"C3","AD",1,"LARTRI",7.6,8.75,100
"C3","AD",1,"FOUSPL",10.05,11.2,0
"C3","AD",1,"subshrub",11.6,11.9,100
"C3","AD",1,"LARTRI",13.8,14.7,100
"C3","AD",1,"FOUSPL",14.25,14.8,0
"C3","AD",1,"LARTRI",16.15,16.4,100
"C3","AD",1,"LARTRI",16.95,19.2,100
"C3","AD",1,"shrub",22.7,23.2,100
"C3","AD",1,"LARTRI",34.25,35.3,100
"C3","AD",1,"shrub",36.15,36.8,100
"C3","AD",1,"LARTRI",38.5,39.5,100
"C3","AD",1,"LARTRI",42.4,42.65,100
"C3","AD",1,"LARTRI",45,46.1,100
"C3","AD",1,"LARTRI",49.5,50,100
"C3","AD",2,"subshrub",1,1.8,100
"C3","AD",2,"KRAGRA",3.8,3.95,10
"C3","AD",2,"LARTRI",4.95,5.35,100
"C3","AD",2,"ACANEO",7.25,7.65,0
"C3","AD",2,"LARTRI",13.7,14.6,50
"C3","AD",2,"LARTRI",19.6,18.5,10
"C3","AD",2,"KRAGRA",19.55,20.25,40
"C3","AD",2,"FOUSPL",31,31.55,0
"C3","AD",2,"LARTRI",31.3,31.55,60
"C3","AD",3,"subshrub",1.95,2.15,100
"C3","AD",3,"shrub",6.75,6.8,0
"C3","AD",3,"subshrub",16.4,17.1,100
"C3","AD",3,"LARTRI",20.7,22.5,50
"C3","AD",3,"LARTRI",28.65,29.6,100
"C3","AD",3,"LARTRI",33.45,33.5,100
"C3","AD",3,"LARTRI",41.2,42.7,100
"C3","AD",3,"LARTRI",44.7,45.1,100
"C3","AD",3,"FOUSPL",47.75,48.3,100
"C3","AD",3,"LARTRI",48.45,48.9,100
